message,aid_related
UN reports Leogane 80-90 destroyed. Only Hospital St. Croix functioning. Needs supplies desperately.,1
"We are at Gressier we needs assistance right away. ASAP, Come help us.",1
"Delmas 33 in Silo, need water.",1
"SOS SOS, please provide police officers on the streets as they are very insecure",1
"I am a driver, a mechanic ,. I want to help",0
We are at Fort Mercredi ( wednesday ) where can we find tents and treated water.,1
"Our imcomprehensibley of 9 member was repatriated incomprehensible - (Location) Duvivier, Fond Grango",0
A cold front is on Cuba this morning. It could cross Haiti tomorrow. Isolated rain showers are expected for our region.,0
Please Bo Gravel Vob Ta A 41 we are hungry. Need food.,1
"We are not located in one place, and i want you to know there is a lot of available spaces to put up tent for shelters  is the reason why we station in front of our house for more safety against thief, as you see.",1
"we want people to know that people that were in Port au Prince that came to Cap-Haitian have no food to eat. ( Cap-Haitien is in the north, 250 km from Port au Prince )",1
One thing I am asking the money tranfer offices is for them to open so we can get the money sent to us.,1
We are at Lycee Philippe Guerrier at les Cayes. We had to leave Port-au-Prince because of the bad odor and conditions of life in the capital. We need help please.,1
"Good evening, please come quickly to assist homeless victims who are in village of Morin, section of Taifer, municipality of K-Fou Carrefour. Thank you.",1
"Im Haitian my husband is alive in Port au Prince my husband lost his work our pay family parts which USA Im not thereas house still remains, my house crushed making something",1
"people from st suzanne who were in port-au-prince, the students came, they didnt bring any clothes to wear, old students from soeur remembered them thanks soeur ade",1
Road off of 200/2 to south of central Leogane. Same road that goes to Sabouce ends at Deslandes. No GPS coordinates available from here.,0
"They have a lot of people in the Saint-Marc ( in the park ) who are NOT originally from St-Marc, they left Port-au-Prince and tried to escape the tragedy but they do not have anything. Please come and help them.",1
"they are in a area near a mountain hungry, sick their is no water please remember us",1
I'd like to know if there are buses taking people to Les Cayes for free.,0
"People don't have no food neither, they would need to find some hot plates of food till they can",1
How can we help the victims at Les Cayes?,1
.. for the vehicules that must bring back limbeense and bas-limbeense. thanks for helping them. Notes.. follow up from other message Sebastien,0
I'm the vice president of the association Rafadek in Anse a galets. You can call me so that you could help people in La Gonave,1
We are in Matisan we have medical problems and we are in lack of water. This sms must be coming from an area that must have not received aid.,1
"To register your name, or someone your looking for. Go to www. cicr. org",0
we are in need of food tentes corvers water money. we are in croix des missions/ route butte boyer in the churche mormon an. we are 50 people. pascale saint georges,1
There's an internet cafe at Nazon avenue by Marthin Luther King blvd next to orange market below Genie Market,0
Don't know what to do about estaff touterene part at the end,0
"If all cyber cafes in Port-au-Priince are broken, come join me in Saint-Marc. We will truncated",0
"We're asking you please to bring everything that's possible. Food, clothse, water, money to save those people's lives. Where we are people died, houses fell",1
All local inhabitants needing food and shelter,1
ir for youth. .. . we are counting on you and we are thanking you for your contribution. we are waiting for your response,1
GOOD MORNIN AM IN DANGE MY PHONE CARD IS FINISH HOW CAN YOU HELP ME,1
"We are at the Immaculate Conception hospital in Les Cayes, the complete adress is in Rue Duvivier - Thanks a lot, may God bless you.",0
Me not knowing adress of cyber cafe that are working,0
CALLIN CARD IS DONE I NEED TO CALL MY FAMILY IN PORT AU PRINCE. I CNT PUT IN,0
"Hello, we thank every organization, every institution and civilian whom want to help. We are at Maryani 1, Victory road on top of the hill we are in trouble",1
They need Food at leogane 9th Section Citronniers,1
"Clercine 24, impasse Cenor. . we need aide, we have nothing, the kids are starving to death. we need food, medicine and water. Please help us we cannot take it anymore",1
"Hello, I do not have any death but we have lost everything, we have no food please find a way to help us",1
"Digil thank you, please add some minutes on my phone.",0
"The survivors of Pernier Fatima We have about 650 families who need food, tent, chothing, medicine and more. We have some people with broken bones, some who are dead ..",1
"I'm O. K. in Carrefour Bourry on Torbec rd. I need food, water, telephone card to communicate",1
i received your message with hope. I want to know 1. when will I get an answer. 2. where do i go to rendezvous? 3. what country are you helping from?,0
I MADE A MAP FIND THIS FAMILLY WE ARE 13 PEOPLE,1
"Not sure if it's St. Pierre or St. Pierre School, Port-au-Prince.",0
"We want to thank Digicel for letting us send text messages. We are in Bois Moquette ( Upper Petion-Ville ), we have no destroyed house, but we need Water and Food, we lost our job, we lost people.",1
Have some type of way for us with out that we all are going to die hungry thank you.,1
"we do not have water, our house is compromised (cracked), we do not have a place where to sleep.",1
we have transportation. call me -we need help.,1
Please we need food and water and tents so that we can sleep. Please go look at Carrefour particularly in the area of Titus and Betem ( or Boten ). We need food because - Incomplete,1
across peace hospital. we r waiting on u,0
"The people from cite Castro in Mais Gate 10, we need aid such as : food, water, tents and much more. we are about 3000 people in the area ( the area is the airport area )",1
"in the nam eo fthe population in my area, that is now living in the streets becuase our houses have been demolish by the earthquake, we want you . .. ",1
"Good morning, I wrote a message. I do not know if you found it. I am asking ---",0
Why don't the authorithies send help in Mariani?,1
"we are in need of water, anti biotics, face masks and tents. we are at Lamentin 54, rue cocteau, carrefour",1
I thank you for the good work you are doing,0
"Relative to all the people leaving the capital, and migrating to other cities, what is the plan? Do you know that our cities are overcrowded?",0
Hello we are in Belok Leogane. We are hungry we have nothing for the area of belok. It is the student association of belok Leogane,1
We need medicine for Hypertension and tampons/pads and medicine for thee baby too.,1
"Please, durinfg the earthquake, we lost our house and we are injured and we need help. we are students",1
We have several people suffering from dehydration because we do not have water. we are in Leyogan. ? in a different route bary. thursday.,1
"Earthquake, also heklp us find tents, water, vitamins, food, medicine, lamps, sheets, everything. Thanks for everything.",1
"Hello I can't receive call, when someone try to reach me, there's a message saying the number is not available. Please try to fix the problem for me",0
"I thank you all for your disposition to provide relief. Please, we are a family of 8 persons, we would like to be granted 2 tents. Thank in advance. Note : Please call to check location",1
"At st Martin Street entrance Mariella street we need help we have no house, we need water, food. thanks",1
"Good Night. We are 8 people who are refugees in Coix des Bouquets, Duval 30. We would like to benefit from food kits and 2 tents. Thank you for your understanding.",1
Message received. Message recu. Mesaj ou ale BERIBHTEN INBOX,0
4636 : MInustah fm radio is working now on 106. 1 FM and 94. 9FM,0
"We are in Delma a 1, in local pinson. We have a great need for food and water.",1
I can't call my family cause i HAVE no minutes on my calling card. Please help me,1
"That's too much. .. Our Archibishop is gone. Our priest and seminarist, most of them are dead. Our training centres are destroyed. This is the reason why I am asking you to help me to complete the rest of the school year wherever you can. ..",0
one item of clothing. please go and help them. - Incomplete,0
I think you will do the necessary things for me. .. Note : call for details. .. incomplete request,0
"a country, I cannot function well. My house is located about 1km, when the heavy trucks pass by the house shakes! I have two small children, ( my wife. .. ) OR ( Mrs. .. . )",0
was. Please Help me! ( end of last message I translated ),0
Would love to hear the latest news from Haiti for 2010.,0
"because it is only one station that we have, thanks in advance",0
"I need to let my family know that I am starving, they need to send me money. What Money transfer company is openin my area..",1
"Please, we need water, food and tents to sleep in. Please help us out",1
"I'm hungry, That is why I am sending this message. ( no location provided )",1
"In the state, please tell me what I must do",0
I am in Mole St. Nicolas. We have received alot of people who have arrived without anything. We badly need humanitarian aid to help these refugees.,1
"truncated - probably we need water, shelter, food. Please help us. Thank you.",1
our Mother doesnt work and the children are small. I ask please help mother work in Miami so she can help us not die because we dont have. .. ?,0
"We need food, water. .. . The kids are sick, fever, flu. .. Help. .. We are @ Cote 28, rue Richard",1
( no location ) we are responsible for a shelter. thanks in advance,1
"Voice of America. Please pass the message along for us. We live in Gressier, 24th section ( Ti Boukan ). We are dying of hunger. What we had is finished. PLease pass the message along for us.",1
I was at Port-au-Prince I've been hit really hard by this and my mother who was my life died. I have received no aid please help me whichever way you can help me ( unclear due to I characters replacing the European chars ),1
"Help we need help we need, food, water and security, SOS they are going to kill us",1
"I am saved from the earthquake by God's mercy. I am at L'Artibonite, i would like some help for my family and i. thank you",1
"I wrote before, you didn't answer me. We are located at Carrefour Maren, there's a lot of death victims. We need help",1
"I'm living in Gonaive, I don't have anyone who can help me, see what you can do for me. . my hopes are on you after God. Thank You",1
We can send it to 4636 I don't have money,0
There's no one to send me money,1
"We are in Pamis-Aven. We need help, we have no food or water.",1
"I need a job too, but for now I need, food, water, and a tent. And I think that we need Psychologic help as well",1
"Good Day, I am happy your desk accepted my message. I am a student, I would like to get a job, I am in misery",0
".. . haven't been able to find work, i have 2 people who died that we can't find, help us thank you ",1
"I'm a agriculture technician. I live in Dame-Marie, I would like you to think of me",0
"We are in Mapou Dampus leogane, claudel desir field, we are hungry and we go no help in leogane",1
"Digicel, I'm in the community Baie de Henne. There are a lot of victims in the kapital there. We need food and water. We need underwear.",1
"In Haut Fontamara, We are all living in the streets. We haven't seen the authorities as of yet",1
"We are a family of thirteen people a mother a father eleven children we need food aid : water food bars of soap oil, financial help we live on Rue Chavannes Prolonge",1
"We are survivors of the earthquake. W don't have the courage to stay in Port-au-Prince. We are forced to go to the province, near Ponsonde ( noulagu? )",1
To the US. I have lots of problems. My mother and father,0
"Good evening, I live turbe, in Village Livia. My house has been destroyed with everything in it. I live in the yard. The neighborhood hasn't received any aid. Help, please help us.",1
My father's work is destroyed and there are many of us in the house. We were destitute before the catastrophe. My mom never worked. Please help us.,1
"we're in the fokal building. we need water, food and tents to sleep in",1
I live in cite soleil. I sleep on the streets. No one is helping me.,1
we would like info about aid distribution we are in bon repos ( this is along the national #1 righout outside of pap ),1
I'm haitian doctor and i own an organization. i need medicine to help people near my house,1
you can't satisfy everyone but don't forget me i'm hopeless powerless.,0
the people in the zone of rue Doctor obri is givin u thanks for the services you are giving the haitien population we just received water to nite. but we can't just have water witout food.,1
Please come see us we're in martissan 7 go straight the maniga street we need some place to sleep because we have a lot of children we need food also,1
I like the program Information you should know. Give me more information. Thanks.,0
What is there to be found in the country now? We need some help for the people who suffering. Please write to us to tell us your intentions ,1
"Even in Moghav we've asked for aid, we are writinge in this regard. We would like to know more about iti ",1
"I used to live in PaP. Now I'm in Montruis. What are the risks for that area for Friday, Jan 22?",0
"We are a family of 15 members, 5 men 10 women, we need help because our home has collapsed. ",1
